n_procs,n_threads,time_taken,problem_size
1,1,4.96,10000000
1,2,2.66,10000000
1,3,1.88,10000000
1,4,1.49,10000000
1,5,1.25,10000000
1,6,1.10,10000000
1,7,0.98,10000000
1,8,0.91,10000000
1,9,0.84,10000000
1,10,0.80,10000000
1,11,0.76,10000000
1,12,0.73,10000000
1,13,0.72,10000000
1,14,0.72,10000000
1,15,0.73,10000000
1,16,0.73,10000000
1,17,0.75,10000000
1,18,0.75,10000000
1,19,0.78,10000000
1,20,0.80,10000000
1,21,0.78,10000000
1,22,0.85,10000000
1,23,0.89,10000000
1,24,0.90,10000000
2,1,2.58,10000000
2,2,1.48,10000000
2,3,1.10,10000000
2,4,0.91,10000000
2,5,0.79,10000000
2,6,0.72,10000000
2,7,0.67,10000000
2,8,0.63,10000000
2,9,0.60,10000000
2,10,0.58,10000000
2,11,0.56,10000000
2,12,0.55,10000000
2,13,0.55,10000000
2,14,0.55,10000000
2,15,0.57,10000000
2,16,0.58,10000000
2,17,0.61,10000000
2,18,0.59,10000000
2,19,0.60,10000000
2,20,0.62,10000000
2,21,0.62,10000000
2,22,0.60,10000000
2,23,0.61,10000000
2,24,0.61,10000000
4,1,2.91,10000000
4,2,1.83,10000000
4,3,1.43,10000000
4,4,1.29,10000000
4,5,1.18,10000000
4,6,1.11,10000000
4,7,1.06,10000000
4,8,1.02,10000000
4,9,0.98,10000000
4,10,0.95,10000000
4,11,0.95,10000000
4,12,1.02,10000000
4,13,0.61,10000000
4,14,0.70,10000000
4,15,0.67,10000000
4,16,0.75,10000000
4,17,0.70,10000000
4,18,0.75,10000000
4,19,0.74,10000000
4,20,0.73,10000000
4,21,0.74,10000000
4,22,0.73,10000000
4,23,0.71,10000000
4,24,0.77,10000000
8,1,3.65,10000000
8,2,2.60,10000000
8,3,2.30,10000000
8,4,2.16,10000000
8,5,1.99,10000000
8,6,1.94,10000000
8,7,1.88,10000000
8,8,1.82,10000000
8,9,1.84,10000000
8,10,1.75,10000000
8,11,1.82,10000000
8,12,1.80,10000000
8,13,0.82,10000000
8,14,0.83,10000000
8,15,0.84,10000000
8,16,0.82,10000000
8,17,0.89,10000000
8,18,0.88,10000000
8,19,0.86,10000000
8,20,0.93,10000000
8,21,0.94,10000000
8,22,0.92,10000000
8,23,0.90,10000000
8,24,0.91,10000000
16,1,5.32,10000000
16,2,4.21,10000000
16,3,3.90,10000000
16,4,3.87,10000000
16,5,3.84,10000000
16,6,3.72,10000000
16,7,3.75,10000000
16,8,3.73,10000000
16,9,3.70,10000000
16,10,3.51,10000000
16,11,3.73,10000000
16,12,3.52,10000000
16,13,1.30,10000000
16,14,1.26,10000000
16,15,1.29,10000000
16,16,1.43,10000000
16,17,1.45,10000000
16,18,1.32,10000000
16,19,1.35,10000000
16,20,1.28,10000000
16,21,1.34,10000000
16,22,1.29,10000000
16,23,1.46,10000000
16,24,1.39,10000000
