n_procs,n_threads,time_taken,problem size
2,1,0.48,2000000
2,2,0.57,4000000
2,3,0.65,6000000
2,4,0.72,8000000
2,5,0.79,10000000
2,6,0.87,12000000
2,7,0.94,14000000
2,8,1.01,16000000
2,9,1.08,18000000
2,10,1.16,20000000
2,11,1.23,22000000
2,12,1.31,24000000
2,13,1.40,26000000
2,14,1.53,28000000
2,15,1.67,30000000
2,16,1.81,32000000
2,17,1.90,34000000
2,18,2.07,36000000
2,19,2.24,38000000
2,20,2.49,40000000
2,21,2.63,42000000
2,22,2.81,44000000
2,23,2.92,46000000
2,24,2.97,48000000
1,24,0.50,2000000
2,24,0.57,4000000
4,24,1.47,8000000
8,24,4.06,16000000
16,24,12.87,32000000
